Date,t,Open,High,Low,Close,,
2/2/2021,1230,22.84,24.11,22.79,23.71,,
2/1/2021,1229,22.6,23.15,21.7,22.84,,
1/31/2021,1228,23.6,24.53,22.17,22.6,,
1/30/2021,1227,22.77,23.95,22.23,23.59,,
1/29/2021,1226,23.3,24.18,22.11,22.77,,
1/28/2021,1225,21.06,23.76,20.63,23.66,,
1/27/2021,1224,23.03,23.11,20.38,21.07,,
1/26/2021,1223,23.52,23.95,21.77,23.03,,
1/25/2021,1222,24.7,25.65,22.74,23.54,,
1/24/2021,1221,24.77,24.87,23.38,24.7,,
1/23/2021,1220,21.61,25.45,21.25,24.76,,
1/22/2021,1219,18.41,22.43,17.38,21.63,,
1/21/2021,1218,21.85,21.94,18.16,18.42,,
1/20/2021,1217,20.72,21.93,19.19,21.85,,
1/19/2021,1216,22.04,22.8,20.58,20.75,,
1/18/2021,1215,23.2,23.53,21.21,22.04,,
1/17/2021,1214,20.22,23.61,19.46,23.17,,
1/16/2021,1213,20.71,22.69,19.72,20.22,,
1/15/2021,1212,17.87,21.19,17.57,20.71,,
1/14/2021,1211,15.93,17.83,15.43,17.83,,
1/13/2021,1210,13.9,16.21,13.43,15.93,,
1/12/2021,1209,14.55,15.44,13.75,13.92,,
1/11/2021,1208,16.25,16.25,12.57,14.56,,
1/10/2021,1207,17.6,18.45,15.62,16.25,,
1/9/2021,1206,15.28,17.9,15.06,17.61,,
1/8/2021,1205,16.02,16.15,14.26,15.29,,
1/7/2021,1204,17.16,17.35,15.23,16.03,,
1/6/2021,1203,14.55,17.22,14.18,17.16,,
1/5/2021,1202,13.57,14.9,13.17,14.54,,
1/4/2021,1201,13.67,15.58,12.6,13.57,,
1/3/2021,1200,12.22,13.98,11.88,13.65,,
1/2/2021,1199,11.87,12.36,11.52,12.22,,
1/1/2021,1198,11.27,12.39,11.12,11.87,,
12/31/2020,1197,11.25,11.72,11,11.27,,
12/30/2020,1196,11.77,11.93,11.1,11.25,,
12/29/2020,1195,12.62,12.98,10.84,11.77,,
12/28/2020,1194,12.15,12.89,12.04,12.63,,
12/27/2020,1193,10.96,13.04,10.24,12.13,,
12/26/2020,1192,11.55,11.78,10.68,10.96,,
12/25/2020,1191,11.57,11.86,11.08,11.55,,
12/24/2020,1190,10.87,11.66,9.97,11.58,,
12/23/2020,1189,12.79,12.85,8.51,10.83,,
12/22/2020,1188,12.34,12.81,11.86,12.79,,
12/21/2020,1187,13.07,13.25,12.17,12.34,,
12/20/2020,1186,13.49,13.74,12.8,13.07,,
12/19/2020,1185,13.51,13.97,13.32,13.49,,
12/18/2020,1184,13.47,13.99,13.22,13.51,,
12/17/2020,1183,13.45,14.44,13.17,13.47,,
12/16/2020,1182,12.7,13.46,12.35,13.45,,
12/15/2020,1181,12.83,12.99,12.49,12.71,,
12/14/2020,1180,12.94,12.97,12.36,12.83,,
12/13/2020,1179,12.21,13.21,12.05,12.93,,
12/12/2020,1178,11.66,12.33,11.64,12.21,,
12/11/2020,1177,11.92,11.94,11.45,11.66,,
12/10/2020,1176,12.63,12.65,11.88,11.92,,
12/9/2020,1175,12.14,12.79,11.63,12.63,,
12/8/2020,1174,13.08,13.18,12.03,12.15,,
12/7/2020,1173,13.49,13.52,12.91,13.08,,
12/6/2020,1172,13.17,13.52,12.81,13.49,,
12/5/2020,1171,12.74,13.33,12.59,13.17,,
12/4/2020,1170,13.97,14.03,12.61,12.74,,
12/3/2020,1169,13.99,14.19,13.67,13.97,,
12/2/2020,1168,13.39,14.13,13.14,13.99,,
12/1/2020,1167,14.23,14.8,13.25,13.39,,
11/30/2020,1166,13.37,14.38,13.37,14.23,,
11/29/2020,1165,13.08,13.4,12.87,13.37,,
11/28/2020,1164,12.49,13.41,12.39,13.08,,
11/27/2020,1163,12.59,12.95,12.04,12.49,,
11/26/2020,1162,14.26,14.45,11.36,12.58,,
11/25/2020,1161,15.62,15.77,13.93,14.26,,
11/24/2020,1160,15.27,16.25,15.01,15.62,,
11/23/2020,1159,14.44,15.37,14.25,15.27,,
11/22/2020,1158,15.36,15.62,13.91,14.44,,
11/21/2020,1157,14.08,15.4,13.77,15.36,,
11/20/2020,1156,13.62,14.4,13.51,14.08,,
11/19/2020,1155,13.59,13.97,13.07,13.62,,
11/18/2020,1154,13.24,14.2,12.92,13.59,,
11/17/2020,1153,12.8,13.31,12.55,13.24,,
11/16/2020,1152,12.12,12.79,12.03,12.59,,
11/15/2020,1151,12.58,12.63,11.84,12.12,,
11/14/2020,1150,12.89,12.91,12.39,12.58,,
11/13/2020,1149,12.42,12.99,12.34,12.89,,
11/12/2020,1148,12.81,13.08,12.31,12.42,,
11/11/2020,1147,13,13.39,12.79,12.81,,
11/10/2020,1146,12.52,13.24,12.35,13,,
11/9/2020,1145,12.66,12.95,12.11,12.52,,
11/8/2020,1144,11.76,13,11.53,12.66,,
11/7/2020,1143,12.12,13.38,11.54,11.76,,
11/6/2020,1142,10.99,12.21,10.92,12.12,,
11/5/2020,1141,10.47,11.2,10.11,10.99,,
11/4/2020,1140,10.39,10.63,9.8,10.47,,
11/3/2020,1139,10.8,10.8,10.13,10.39,,
11/2/2020,1138,11.54,11.64,10.79,10.8,,
11/1/2020,1137,11.22,11.57,11.04,11.54,,
10/31/2020,1136,11.1,11.38,10.94,11.22,,
10/30/2020,1135,11.27,11.42,10.79,11.1,,
10/29/2020,1134,11.46,11.77,11.12,11.27,,
10/28/2020,1133,11.97,12.12,11.2,11.46,,
10/27/2020,1132,11.75,12.43,11.54,11.97,,
10/26/2020,1131,12.16,12.43,11.35,11.75,,
10/25/2020,1130,12.73,12.84,12.01,12.16,,
10/24/2020,1129,12.16,12.92,11.99,12.73,,
10/23/2020,1128,11.96,12.24,11.61,12.16,,
10/22/2020,1127,10.79,12.32,10.74,11.94,,
10/21/2020,1126,9.88,11.06,9.87,10.8,,
10/20/2020,1125,10.88,10.9,9.86,9.88,,
10/19/2020,1124,10.89,11.13,10.64,10.89,,
10/18/2020,1123,10.64,10.95,10.57,10.88,,
10/17/2020,1122,10.61,10.71,10.46,10.65,,
10/16/2020,1121,10.75,10.86,10.32,10.62,,
10/15/2020,1120,10.92,10.92,10.52,10.74,,
10/14/2020,1119,10.99,11.29,10.65,10.95,,
10/13/2020,1118,11.43,11.53,10.72,11,,
10/12/2020,1117,10.84,11.75,10.71,11.45,,
10/11/2020,1116,10.52,10.97,10.21,10.85,,
10/10/2020,1115,10.39,10.81,10.39,10.52,,
10/9/2020,1114,9.52,10.47,9.37,10.35,,
10/8/2020,1113,8.99,9.62,8.51,9.51,,
10/7/2020,1112,8.78,9.01,8.47,8.96,,
10/6/2020,1111,9.63,9.63,8.68,8.78,,
10/5/2020,1110,9.41,9.7,9.32,9.62,,
10/4/2020,1109,9.31,9.45,9.18,9.4,,
10/3/2020,1108,9.22,9.53,9.15,9.3,,
10/2/2020,1107,9.64,9.77,8.87,9.22,,
10/1/2020,1106,9.87,10.37,9.45,9.65,,
9/30/2020,1105,10.13,10.13,9.63,9.85,,
9/29/2020,1104,10.3,10.35,9.5,10.12,,
9/28/2020,1103,10.78,11,10.3,10.33,,
9/27/2020,1102,10.33,10.94,10,10.77,,
9/26/2020,1101,10.72,11,10.07,10.34,,
9/25/2020,1100,9.85,11.12,9.47,10.71,,
9/24/2020,1099,7.67,10.35,7.56,9.82,,
9/23/2020,1098,8.74,8.8,7.5,7.7,,
9/22/2020,1097,8.75,9.08,8.67,8.76,,
9/21/2020,1096,9.76,9.9,8.62,8.76,,
9/20/2020,1095,10.14,10.58,9.6,9.77,,
9/19/2020,1094,10.07,10.49,9.96,10.15,,
9/18/2020,1093,10.99,11.15,9.9,10.08,,
9/17/2020,1092,10.76,11.61,10.54,10.99,,
9/16/2020,1091,10.98,11.29,10.57,10.76,,
9/15/2020,1090,12.11,12.21,10.83,10.98,,
9/14/2020,1089,11.97,12.43,11.73,12.12,,
9/13/2020,1088,12.77,13.18,11.85,11.99,,
9/12/2020,1087,12.5,12.77,12.12,12.77,,
9/11/2020,1086,12.55,12.72,12.06,12.5,,
9/10/2020,1085,12.38,13.2,12.3,12.55,,
9/9/2020,1084,11.79,12.62,11.51,12.38,,
9/8/2020,1083,12.44,12.72,11.27,11.79,,
9/7/2020,1082,12.89,13.19,11.42,12.43,,
9/6/2020,1081,10.61,13.17,9.94,12.91,,
9/5/2020,1080,12.51,12.77,9.52,10.61,,
9/4/2020,1079,12.01,12.92,11.27,12.49,,
9/3/2020,1078,14.96,14.98,11.68,12.02,,
9/2/2020,1077,16.12,16.39,14.27,14.9,,
9/1/2020,1076,15.67,16.48,15.34,16.12,,
8/31/2020,1075,16.5,16.92,15.71,15.71,,
8/30/2020,1074,16.53,17.66,16.44,16.47,,
8/29/2020,1073,15.17,16.91,15.02,16.57,,
8/28/2020,1072,14.5,15.44,14.31,15.16,,
8/27/2020,1071,15.23,15.49,14.15,14.5,,
8/26/2020,1070,14.23,15.59,14.15,15.25,,
8/25/2020,1069,15.13,15.44,13.76,14.22,,
8/24/2020,1068,15.16,15.81,14.79,15.18,,
8/23/2020,1067,15.91,15.96,14.8,15.17,,
8/22/2020,1066,13.83,16.24,13.83,15.96,,
8/21/2020,1065,16.09,16.11,13.17,13.8,,
8/20/2020,1064,16.22,16.73,15.85,16.09,,
8/19/2020,1063,16.21,17.19,15.11,16.24,,
8/18/2020,1062,16.78,17.66,15.18,16.24,,
8/17/2020,1061,18.8,19.6,16.42,16.71,,
8/16/2020,1060,19.11,19.85,18.68,18.8,,
8/15/2020,1059,16.92,19.58,16.62,19.1,,
8/14/2020,1058,17.35,17.79,16.49,16.93,,
8/13/2020,1057,16.64,18.43,16.21,17.33,,
8/12/2020,1056,13.1,16.75,12.68,16.62,,
8/11/2020,1055,13.46,13.5,12.34,13.11,,
8/10/2020,1054,13.84,13.94,12.88,13.44,,
8/9/2020,1053,12.71,14.36,12.13,13.85,,
8/8/2020,1052,10.08,13.7,9.99,12.69,,
8/7/2020,1051,10.15,10.19,9.4,10.06,,
8/6/2020,1050,9.55,10.17,9.5,10.14,,
8/5/2020,1049,9.83,9.85,9.42,9.56,,
8/4/2020,1048,9.16,9.93,9.1,9.82,,
8/3/2020,1047,8.27,9.2,8.18,9.16,,
8/2/2020,1046,8.31,8.68,7.47,8.27,,
8/1/2020,1045,7.77,8.39,7.65,8.3,,
7/31/2020,1044,7.41,7.84,7.41,7.77,,
7/30/2020,1043,7.11,7.56,7.05,7.42,,
7/29/2020,1042,7.22,7.47,7.03,7.12,,
7/28/2020,1041,7.09,7.39,6.92,7.22,,
7/27/2020,1040,7.49,7.49,6.58,7.1,,
7/26/2020,1039,7.66,7.9,7.33,7.5,,
7/25/2020,1038,7.44,7.77,7.41,7.66,,
7/24/2020,1037,7.87,7.9,7.41,7.43,,
7/23/2020,1036,7.47,8.04,7.42,7.87,,
7/22/2020,1035,7.28,7.59,7.09,7.47,,
7/21/2020,1034,7.26,7.64,7.06,7.28,,
7/20/2020,1033,8.07,8.11,7.24,7.27,,
7/19/2020,1032,7.96,8.17,7.81,8.07,,
7/18/2020,1031,8.27,8.27,7.79,7.96,,
7/17/2020,1030,8.35,8.55,8.22,8.28,,
7/16/2020,1029,8.64,8.8,8.05,8.34,,
7/15/2020,1028,8.1,8.74,7.86,8.64,,
7/14/2020,1027,7.17,8.25,7.04,8.1,,
7/13/2020,1026,7.31,8.33,6.93,7.18,,
7/12/2020,1025,6.11,7.32,6.11,7.31,,
7/11/2020,1024,6.14,6.24,6,6.12,,
7/10/2020,1023,6.1,6.18,5.75,6.14,,
7/9/2020,1022,6.48,6.48,5.8,6.1,,
7/8/2020,1021,5.71,6.51,5.63,6.48,,
7/7/2020,1020,5.36,5.86,5.32,5.71,,
7/6/2020,1019,4.74,5.39,4.74,5.37,,
7/5/2020,1018,4.81,4.84,4.65,4.74,,
7/4/2020,1017,4.74,4.85,4.72,4.8,,
7/3/2020,1016,4.85,4.91,4.73,4.74,,
7/2/2020,1015,4.71,4.91,4.67,4.85,,
7/1/2020,1014,4.57,4.74,4.53,4.7,,
6/30/2020,1013,4.61,4.67,4.55,4.57,,
6/29/2020,1012,4.57,4.65,4.45,4.62,,
6/28/2020,1011,4.43,4.63,4.38,4.56,,
6/27/2020,1010,4.68,4.7,4.37,4.43,,
6/26/2020,1009,4.81,4.86,4.66,4.68,,
6/25/2020,1008,4.71,4.82,4.55,4.81,,
6/24/2020,1007,4.81,4.93,4.55,4.72,,
6/23/2020,1006,4.46,4.94,4.41,4.81,,
6/22/2020,1005,4.19,4.47,4.19,4.47,,
6/21/2020,1004,4.17,4.21,4.15,4.19,,
6/20/2020,1003,4.08,4.21,4.05,4.17,,
6/19/2020,1002,4.17,4.19,4.05,4.08,,
6/18/2020,1001,4.16,4.23,4.12,4.17,,
6/17/2020,1000,4.05,4.17,4,4.16,,
6/16/2020,999,3.93,4.08,3.9,4.05,,
6/15/2020,998,3.96,3.99,3.68,3.93,,
6/14/2020,997,4.11,4.12,3.96,3.96,,
6/13/2020,996,4.09,4.12,4.02,4.11,,
6/12/2020,995,3.98,4.18,3.89,4.09,,
6/11/2020,994,4.42,4.46,3.94,3.97,,
6/10/2020,993,4.45,4.45,4.34,4.42,,
6/9/2020,992,4.46,4.48,4.39,4.45,,
6/8/2020,991,4.35,4.46,4.33,4.46,,
6/7/2020,990,4.34,4.4,4.24,4.35,,
6/6/2020,989,4.38,4.41,4.33,4.34,,
6/5/2020,988,4.43,4.49,4.36,4.38,,
6/4/2020,987,4.49,4.51,4.32,4.43,,
6/3/2020,986,4.39,4.54,4.32,4.49,,
6/2/2020,985,4.38,4.61,4.22,4.39,,
6/1/2020,984,4.13,4.47,4.12,4.38,,
5/31/2020,983,4.17,4.26,4.06,4.13,,
5/30/2020,982,3.99,4.17,3.95,4.17,,
5/29/2020,981,4.03,4.11,3.96,3.99,,
5/28/2020,980,3.86,4.04,3.84,4.03,,
5/27/2020,979,3.84,3.92,3.82,3.86,,
5/26/2020,978,3.87,3.88,3.79,3.84,,
5/25/2020,977,3.83,3.9,3.8,3.87,,
5/24/2020,976,3.95,4.02,3.84,3.84,,
5/23/2020,975,4.07,4.1,3.93,3.96,,
5/22/2020,974,3.85,4.12,3.81,4.07,,
5/21/2020,973,4.07,4.15,3.77,3.85,,
5/20/2020,972,3.92,4.12,3.92,4.07,,
5/19/2020,971,3.88,3.92,3.79,3.92,,
5/18/2020,970,3.78,3.94,3.78,3.89,,
5/17/2020,969,3.76,3.84,3.76,3.78,,
5/16/2020,968,3.67,3.78,3.63,3.76,,
5/15/2020,967,3.8,3.84,3.65,3.67,,
5/14/2020,966,3.76,3.85,3.7,3.8,,
5/13/2020,965,3.69,3.8,3.67,3.76,,
5/12/2020,964,3.59,3.79,3.56,3.69,,
5/11/2020,963,3.76,3.82,3.41,3.59,,
5/10/2020,962,4.04,4.04,3.6,3.76,,
5/9/2020,961,3.82,4.18,3.8,4.04,,
5/8/2020,960,3.76,3.86,3.71,3.82,,
5/7/2020,959,3.64,3.83,3.58,3.75,,
5/6/2020,958,3.68,3.77,3.63,3.64,,
5/5/2020,957,3.77,3.8,3.68,3.69,,
5/4/2020,956,3.72,3.83,3.54,3.77,,
5/3/2020,955,3.82,3.87,3.67,3.72,,
5/2/2020,954,3.78,3.87,3.77,3.82,,
5/1/2020,953,3.72,3.91,3.72,3.78,,
4/30/2020,952,3.91,3.96,3.68,3.72,,
4/29/2020,951,3.68,3.96,3.65,3.91,,
4/28/2020,950,3.64,3.74,3.6,3.68,,
4/27/2020,949,3.72,3.74,3.5,3.64,,
4/26/2020,948,3.8,3.83,3.7,3.72,,
4/25/2020,947,3.8,3.89,3.78,3.8,,
4/24/2020,946,3.74,3.89,3.73,3.8,,
4/23/2020,945,3.68,3.82,3.63,3.73,,
4/22/2020,944,3.47,3.7,3.46,3.68,,
4/21/2020,943,3.45,3.58,3.43,3.48,,
4/20/2020,942,3.64,3.78,3.43,3.46,,
4/19/2020,941,3.78,3.81,3.59,3.64,,
4/18/2020,940,3.48,3.8,3.48,3.78,,
4/17/2020,939,3.47,3.53,3.41,3.48,,
4/16/2020,938,3.13,3.52,3.02,3.47,,
4/15/2020,937,3.24,3.31,3.13,3.13,,
4/14/2020,936,3.37,3.44,3.23,3.24,,
4/13/2020,935,3.47,3.47,3.31,3.37,,
4/12/2020,934,3.29,3.59,3.19,3.46,,
4/11/2020,933,3.22,3.42,3.09,3.28,,
4/10/2020,932,3.32,3.33,2.97,3.22,,
4/9/2020,931,3.14,3.45,3.13,3.32,,
4/8/2020,930,2.72,3.24,2.71,3.14,,
4/7/2020,929,2.52,2.87,2.52,2.72,,
4/6/2020,928,2.28,2.52,2.28,2.51,,
4/5/2020,927,2.33,2.33,2.26,2.28,,
4/4/2020,926,2.31,2.33,2.27,2.33,,
4/3/2020,925,2.3,2.38,2.29,2.31,,
4/2/2020,924,2.27,2.39,2.27,2.3,,
4/1/2020,923,2.27,2.3,2.16,2.28,,
3/31/2020,922,2.15,2.28,2.12,2.27,,
3/30/2020,921,2.02,2.18,2.02,2.15,,
3/29/2020,920,2.14,2.15,2.02,2.03,,
3/28/2020,919,2.18,2.18,2.07,2.14,,
3/27/2020,918,2.3,2.34,2.17,2.17,,
3/26/2020,917,2.26,2.3,2.23,2.3,,
3/25/2020,916,2.31,2.33,2.22,2.26,,
3/24/2020,915,2.23,2.36,2.2,2.31,,
3/23/2020,914,1.99,2.24,1.95,2.24,,
3/22/2020,913,2.27,2.31,1.96,1.99,,
3/21/2020,912,2.25,2.33,2.13,2.27,,
3/20/2020,911,2.25,2.6,2.09,2.25,,
3/19/2020,910,1.89,2.34,1.88,2.25,,
3/18/2020,909,1.84,1.91,1.78,1.89,,
3/17/2020,908,1.78,2.05,1.76,1.84,,
3/16/2020,907,2.11,2.11,1.6,1.78,,
3/15/2020,906,2.14,2.36,2.05,2.11,,
3/14/2020,905,2.43,2.5,2.1,2.14,,
3/13/2020,904,2.06,2.71,1.51,2.42,,
3/12/2020,903,3.82,3.83,1.97,2.06,,
3/11/2020,902,4.09,4.11,3.6,3.82,,
3/10/2020,901,4.09,4.2,3.95,4.08,,
3/9/2020,900,4.08,4.34,3.68,4.06,,
3/8/2020,899,4.35,4.43,3.9,4.09,,
3/7/2020,898,4.68,4.68,4.34,4.34,,
3/6/2020,897,4.72,4.75,4.57,4.68,,
3/5/2020,896,4.64,4.89,4.64,4.72,,
3/4/2020,895,4.58,4.95,4.56,4.64,,
3/3/2020,894,4.21,4.66,4.15,4.58,,
3/2/2020,893,3.88,4.31,3.83,4.22,,
3/1/2020,892,4.11,4.2,3.79,3.88,,
2/29/2020,891,4.16,4.35,4.11,4.11,,
2/28/2020,890,3.95,4.2,3.79,4.16,,
2/27/2020,889,3.6,4.11,3.46,3.95,,
2/26/2020,888,3.51,3.83,3.34,3.6,,
2/25/2020,887,3.91,3.95,3.51,3.51,,
2/24/2020,886,4.24,4.27,3.82,3.91,,
2/23/2020,885,4.11,4.36,4.09,4.24,,
2/22/2020,884,4.29,4.34,4.07,4.1,,
2/21/2020,883,4.27,4.48,4.21,4.29,,
2/20/2020,882,4.4,4.47,4.13,4.27,,
2/19/2020,881,4.55,4.82,4.36,4.4,,
2/18/2020,880,4.3,4.59,4.16,4.54,,
2/17/2020,879,4.49,4.55,3.88,4.3,,
2/16/2020,878,4.31,4.83,4.15,4.5,,
2/15/2020,877,4.41,4.61,4.11,4.3,,
2/14/2020,876,3.88,4.47,3.81,4.41,,
2/13/2020,875,4.02,4.09,3.77,3.87,,
2/12/2020,874,3.98,4.19,3.87,4.03,,
2/11/2020,873,3.41,3.98,3.36,3.98,,
2/10/2020,872,3.48,3.48,3.29,3.41,,
2/9/2020,871,3.41,3.48,3.27,3.48,,
2/8/2020,870,3.3,3.45,3.15,3.41,,
2/7/2020,869,2.88,3.35,2.88,3.31,,
2/6/2020,868,2.85,2.93,2.81,2.88,,
2/5/2020,867,2.74,2.87,2.73,2.85,,
2/4/2020,866,2.77,2.8,2.69,2.74,,
2/3/2020,865,2.83,2.86,2.76,2.77,,
2/2/2020,864,2.84,2.89,2.74,2.83,,
2/1/2020,863,2.82,2.87,2.76,2.84,,
1/31/2020,862,2.92,2.92,2.78,2.82,,
1/30/2020,861,2.78,2.94,2.72,2.91,,
1/29/2020,860,2.66,2.81,2.65,2.79,,
1/28/2020,859,2.61,2.67,2.6,2.66,,
1/27/2020,858,2.57,2.68,2.57,2.61,,
1/26/2020,857,2.46,2.57,2.44,2.57,,
1/25/2020,856,2.5,2.51,2.43,2.46,,
1/24/2020,855,2.47,2.53,2.37,2.5,,
1/23/2020,854,2.65,2.65,2.44,2.46,,
1/22/2020,853,2.68,2.69,2.63,2.65,,
1/21/2020,852,2.7,2.74,2.58,2.67,,
1/20/2020,851,2.62,2.74,2.55,2.7,,
1/19/2020,850,2.78,2.84,2.56,2.62,,
1/18/2020,849,2.72,2.79,2.6,2.77,,
1/17/2020,848,2.48,2.84,2.47,2.72,,
1/16/2020,847,2.41,2.5,2.3,2.48,,
1/15/2020,846,2.38,2.57,2.36,2.4,,
1/14/2020,845,2.19,2.45,2.18,2.39,,
1/13/2020,844,2.24,2.24,2.16,2.19,,
1/12/2020,843,2.28,2.31,2.23,2.25,,
1/11/2020,842,2.22,2.33,2.22,2.28,,
1/10/2020,841,2.19,2.26,2.16,2.22,,
1/9/2020,840,2.18,2.23,2.11,2.19,,
1/8/2020,839,2.11,2.33,2.11,2.18,,
1/7/2020,838,1.93,2.13,1.91,2.11,,
